step,train_loss,train_acc,dev_loss,dev_acc
0,12.69580364227295,0.12,5.489027976989746,0.10728571428571429
100,0.7966816425323486,0.7635,0.7059704065322876,0.7695714285714286
200,0.5867511630058289,0.795,0.5786455273628235,0.8025714285714286
300,0.5075188279151917,0.82525,0.5163536071777344,0.8288571428571428
400,0.41553106904029846,0.845,0.49389323592185974,0.8337142857142857
500,0.4693213999271393,0.85725,0.455294668674469,0.8411428571428572
600,0.35540494322776794,0.8565,0.4409600794315338,0.8448571428571429
700,0.3334522247314453,0.865,0.4376665949821472,0.852
800,0.3270629644393921,0.8655,0.41782471537590027,0.854
900,0.38616126775741577,0.8725,0.4132831394672394,0.8574285714285714
1000,0.3971309959888458,0.88025,0.4178968071937561,0.8558571428571429
1100,0.3745332956314087,0.87425,0.39975404739379883,0.865
1200,0.3661285638809204,0.87925,0.3951067626476288,0.8618571428571429
1300,0.37069714069366455,0.87425,0.4126529097557068,0.8598571428571429
1400,0.34675467014312744,0.8915,0.38683339953422546,0.8628571428571429
1500,0.4077525734901428,0.8845,0.3786153793334961,0.869
1600,0.32105448842048645,0.8905,0.38803979754447937,0.8665714285714285
1700,0.36182916164398193,0.9005,0.3759843707084656,0.8692857142857143
1800,0.3145650029182434,0.875,0.40200433135032654,0.8654285714285714
1900,0.2801484763622284,0.89275,0.3701121211051941,0.8711428571428571
2000,0.32946503162384033,0.89925,0.3746335208415985,0.8737142857142857
2100,0.3363584280014038,0.89825,0.37960749864578247,0.8715714285714286
2200,0.25652286410331726,0.89675,0.37423548102378845,0.8777142857142857
2300,0.29127994179725647,0.89475,0.3691692650318146,0.8741428571428571
2400,0.2858026623725891,0.9005,0.37301263213157654,0.87
2500,0.2484096735715866,0.89775,0.3658668100833893,0.8765714285714286
2600,0.2770789563655853,0.897,0.37501147389411926,0.8735714285714286
2700,0.29233914613723755,0.89725,0.3765687346458435,0.8691428571428571
2800,0.24805301427841187,0.9085,0.36665114760398865,0.8791428571428571
2900,0.2816077172756195,0.90975,0.36753979325294495,0.879
3000,0.2745918333530426,0.9025,0.36873963475227356,0.8757142857142857
