step,train_loss,train_acc,dev_loss,dev_acc
0,7.171206474304199,0.097,20.258705139160156,0.10285714285714286
100,1.258335828781128,0.681,0.992448091506958,0.6777142857142857
200,0.7243137359619141,0.727,0.7887981534004211,0.7302857142857143
300,0.5584720373153687,0.7925,0.6307765245437622,0.791
400,0.49419403076171875,0.84825,0.5113286375999451,0.8308571428571428
500,0.5719373226165771,0.8275,0.5154696702957153,0.8212857142857143
600,0.5989835262298584,0.84775,0.48150333762168884,0.8362857142857143
700,0.31954482197761536,0.83575,0.48398610949516296,0.8354285714285714
800,0.25284820795059204,0.84675,0.4692309498786926,0.839
900,0.38959991931915283,0.84825,0.45359018445014954,0.8415714285714285
1000,0.48476821184158325,0.85525,0.48422110080718994,0.8392857142857143
1100,0.33328306674957275,0.83925,0.46446478366851807,0.8395714285714285
1200,0.40271663665771484,0.84225,0.47742536664009094,0.8395714285714285
1300,0.3117714524269104,0.84475,0.4627249836921692,0.8341428571428572
1400,0.3369363844394684,0.85475,0.44552600383758545,0.8467142857142858
1500,0.3235015869140625,0.862,0.4094621241092682,0.8527142857142858
1600,0.4128541052341461,0.87225,0.4016115963459015,0.8595714285714285
1700,0.546127438545227,0.87975,0.3988964259624481,0.8572857142857143
1800,0.4921448230743408,0.86375,0.4013417661190033,0.8581428571428571
1900,0.33309563994407654,0.86,0.419633686542511,0.856
2000,0.3272738456726074,0.8725,0.4319804608821869,0.8542857142857143
2100,0.4623585641384125,0.8885,0.4057404696941376,0.8598571428571429
2200,0.2260994017124176,0.8785,0.38430944085121155,0.866
2300,0.3349992334842682,0.87525,0.40351420640945435,0.8632857142857143
2400,0.5363085865974426,0.8625,0.4060482978820801,0.8592857142857143
2500,0.269665390253067,0.8565,0.4316444993019104,0.8468571428571429
2600,0.2850257456302643,0.87225,0.4085996747016907,0.8637142857142858
2700,0.40499019622802734,0.8725,0.4096825420856476,0.8542857142857143
2800,0.3326365053653717,0.89025,0.3992483615875244,0.8657142857142858
2900,0.4869570732116699,0.87925,0.382723331451416,0.8674285714285714
3000,0.6521426439285278,0.87175,0.3990383446216583,0.8597142857142858
