step,train_loss,train_acc,dev_loss,dev_acc
0,8.935300827026367,0.095,26.379499435424805,0.09742857142857143
100,0.854444146156311,0.76225,0.6895798444747925,0.7567142857142857
200,0.6460726857185364,0.8095,0.5667213201522827,0.8082857142857143
300,0.457563191652298,0.83975,0.4787735641002655,0.8384285714285714
400,0.36336591839790344,0.862,0.4518783688545227,0.8482857142857143
500,0.3367275893688202,0.85525,0.46222618222236633,0.8384285714285714
600,0.29532626271247864,0.873,0.41261181235313416,0.8574285714285714
700,0.2756333351135254,0.87175,0.418690025806427,0.857
800,0.29322385787963867,0.877,0.447056382894516,0.8484285714285714
900,0.27030128240585327,0.88875,0.40733498334884644,0.8625714285714285
1000,0.38718652725219727,0.90275,0.394907146692276,0.8648571428571429
1100,0.2579684555530548,0.89,0.39133280515670776,0.8728571428571429
1200,0.2840445339679718,0.90125,0.37721872329711914,0.8712857142857143
1300,0.2488146424293518,0.88325,0.4071551263332367,0.8622857142857143
1400,0.19225487112998962,0.90475,0.3697989583015442,0.8742857142857143
1500,0.4208349585533142,0.906,0.368218332529068,0.8764285714285714
1600,0.2313796728849411,0.903,0.39382848143577576,0.866
1700,0.3055211007595062,0.91575,0.38105490803718567,0.8734285714285714
1800,0.286772757768631,0.89575,0.3824724853038788,0.8711428571428571
1900,0.27718839049339294,0.905,0.40242981910705566,0.8695714285714286
2000,0.3364659249782562,0.90675,0.39357271790504456,0.8688571428571429
