step,train_loss,train_acc,dev_loss,dev_acc
0,38.113868713378906,0.1295,43.244388580322266,0.12171428571428572
100,2.025254487991333,0.4995,2.029057025909424,0.48828571428571427
200,1.0541287660598755,0.58625,1.4544565677642822,0.5877142857142857
300,1.6055793762207031,0.63425,1.2206941843032837,0.632
400,1.0251715183258057,0.65675,1.1291942596435547,0.6435714285714286
500,1.0607640743255615,0.65675,1.0691807270050049,0.6521428571428571
600,0.9422005414962769,0.66275,1.0285569429397583,0.6612857142857143
700,0.7715128660202026,0.69175,0.9720521569252014,0.6804285714285714
800,0.6867269277572632,0.70275,1.0101165771484375,0.6887142857142857
900,1.0350892543792725,0.72575,0.9118378758430481,0.708
1000,0.8604629635810852,0.717,0.8902484774589539,0.7058571428571428
1100,0.7733684778213501,0.69575,0.9131813645362854,0.6981428571428572
1200,0.8025110363960266,0.7245,0.8912760615348816,0.7177142857142857
1300,1.2261247634887695,0.71925,0.8533959984779358,0.7268571428571429
1400,0.9865042567253113,0.70375,0.8847264051437378,0.7031428571428572
