step,train_loss,train_acc,dev_loss,dev_acc
0,3.573873519897461,0.17325,2.7048892974853516,0.182
100,2.310058832168579,0.10075,2.3042776584625244,0.09742857142857143
200,2.3033487796783447,0.10075,2.3034539222717285,0.09785714285714285
300,2.299997329711914,0.099,2.302626132965088,0.10885714285714286
400,2.3059449195861816,0.115,2.2817630767822266,0.11128571428571428
500,2.2924692630767822,0.18,2.2178378105163574,0.182
600,2.07401704788208,0.25075,2.0468156337738037,0.256
700,1.9560387134552002,0.252,2.048853635787964,0.23442857142857143
