step,train_loss,train_acc,dev_loss,dev_acc
0,5.067412376403809,0.1765,9.857826232910156,0.18414285714285714
100,0.9549961090087891,0.732,0.7990349531173706,0.7301428571428571
200,0.6347293853759766,0.78475,0.6129276156425476,0.7868571428571428
300,0.3603096008300781,0.808,0.5360567569732666,0.8157142857142857
400,0.39570027589797974,0.81675,0.5475186705589294,0.8082857142857143
500,0.5580821633338928,0.80925,0.5605893135070801,0.8015714285714286
600,0.6039106845855713,0.83775,0.49204137921333313,0.8291428571428572
700,0.30070289969444275,0.82275,0.5331220030784607,0.8201428571428572
800,0.35465162992477417,0.8505,0.46860232949256897,0.837
900,0.3309473991394043,0.8475,0.46159467101097107,0.8371428571428572
1000,0.5277431011199951,0.8585,0.4654361307621002,0.8398571428571429
1100,0.4195765554904938,0.842,0.4789745509624481,0.8367142857142857
1200,0.39006420969963074,0.8645,0.42662838101387024,0.8485714285714285
1300,0.3651573061943054,0.85725,0.431974321603775,0.8487142857142858
1400,0.3153393864631653,0.8625,0.42739763855934143,0.8471428571428572
1500,0.34899377822875977,0.86525,0.40668317675590515,0.8505714285714285
1600,0.5512331128120422,0.87675,0.40434616804122925,0.8557142857142858
1700,0.47022971510887146,0.87425,0.41666585206985474,0.8557142857142858
1800,0.46130675077438354,0.8545,0.4256245791912079,0.8502857142857143
1900,0.41090744733810425,0.8655,0.4182889461517334,0.8507142857142858
2000,0.2794880270957947,0.85775,0.4358460307121277,0.8491428571428571
