step,train_loss,train_acc,dev_loss,dev_acc
0,9.023979187011719,0.095,26.4894962310791,0.09742857142857143
100,0.8172444105148315,0.769,0.6725868582725525,0.7627142857142857
200,0.6747178435325623,0.82125,0.5382536053657532,0.8202857142857143
300,0.4073229730129242,0.85375,0.4654327630996704,0.8404285714285714
400,0.287133127450943,0.87325,0.44027650356292725,0.852
500,0.3589344322681427,0.8605,0.4589870572090149,0.8415714285714285
600,0.27504003047943115,0.88075,0.4003106951713562,0.8632857142857143
700,0.25079506635665894,0.88025,0.40449097752571106,0.8615714285714285
800,0.2650822103023529,0.87625,0.434920072555542,0.8525714285714285
900,0.2914247214794159,0.89475,0.3853627145290375,0.8692857142857143
1000,0.33566102385520935,0.9075,0.38375648856163025,0.8687142857142857
1100,0.2857280373573303,0.8985,0.4051603376865387,0.8681428571428571
1200,0.2789609432220459,0.907,0.38301169872283936,0.8728571428571429
1300,0.29449984431266785,0.907,0.3748950660228729,0.8702857142857143
1400,0.2717663645744324,0.91575,0.3635687828063965,0.8777142857142857
1500,0.2942267954349518,0.91225,0.3651106655597687,0.8771428571428571
1600,0.2510293126106262,0.91225,0.39479953050613403,0.8675714285714285
1700,0.24159778654575348,0.92325,0.37810027599334717,0.8798571428571429
1800,0.2555170953273773,0.911,0.37108638882637024,0.8804285714285714
1900,0.1701730489730835,0.924,0.3714234232902527,0.8818571428571429
2000,0.20305974781513214,0.9215,0.38014233112335205,0.8745714285714286
