step,train_loss,train_acc,dev_loss,dev_acc
0,9.909223556518555,0.13925,5.106815814971924,0.15285714285714286
100,1.6591733694076538,0.6395,1.139662504196167,0.6221428571428571
200,0.9282711148262024,0.6675,1.0096360445022583,0.6654285714285715
300,0.5138659477233887,0.7435,0.7019043564796448,0.7492857142857143
400,0.5970125198364258,0.77425,0.6618292927742004,0.7702857142857142
500,0.6308139562606812,0.801,0.5884464979171753,0.799
600,0.8537391424179077,0.79,0.5852654576301575,0.7974285714285714
700,0.38514241576194763,0.80575,0.5574952363967896,0.8015714285714286
800,0.40349000692367554,0.80875,0.5915073156356812,0.8054285714285714
900,0.40468794107437134,0.82675,0.5204923152923584,0.817
1000,0.46545538306236267,0.83,0.5278425216674805,0.8241428571428572
1100,0.491569846868515,0.81575,0.5486899614334106,0.818
1200,0.48803186416625977,0.83825,0.4942636787891388,0.8334285714285714
1300,0.5316945910453796,0.82975,0.5070056915283203,0.8247142857142857
1400,0.39402705430984497,0.83375,0.5065892934799194,0.8261428571428572
1500,0.47257503867149353,0.82925,0.48146459460258484,0.8328571428571429
1600,0.4335472583770752,0.838,0.4857197701931,0.8308571428571428
1700,0.5452027916908264,0.84575,0.4671711027622223,0.8352857142857143
1800,0.4411267638206482,0.82825,0.47324055433273315,0.8372857142857143
1900,0.3090127110481262,0.8305,0.5048899054527283,0.8262857142857143
2000,0.5031499266624451,0.83675,0.48417824506759644,0.8332857142857143
