step,train_loss,train_acc,dev_loss,dev_acc
0,13.073161125183105,0.12,5.4860615730285645,0.10714285714285714
100,0.8254808187484741,0.75625,0.734278678894043,0.7584285714285715
200,0.6170961856842041,0.79575,0.5964540243148804,0.7975714285714286
300,0.5506783723831177,0.8205,0.525891900062561,0.8215714285714286
400,0.409731388092041,0.83325,0.5010393261909485,0.8247142857142857
500,0.47828251123428345,0.85475,0.4636056423187256,0.8388571428571429
600,0.3833465874195099,0.85125,0.4467412531375885,0.8412857142857143
700,0.31688106060028076,0.85975,0.4499433934688568,0.8452857142857143
800,0.3362085223197937,0.86175,0.43403616547584534,0.8524285714285714
900,0.3865097165107727,0.86875,0.41893869638442993,0.8554285714285714
1000,0.3891899287700653,0.878,0.41568970680236816,0.8562857142857143
1100,0.4049559235572815,0.87325,0.4156098961830139,0.8568571428571429
1200,0.3984241485595703,0.8735,0.4039612412452698,0.8587142857142858
1300,0.35212796926498413,0.87225,0.4081355333328247,0.8595714285714285
1400,0.3922295570373535,0.8835,0.38645806908607483,0.8664285714285714
1500,0.44688454270362854,0.87875,0.39422181248664856,0.8674285714285714
1600,0.3280889689922333,0.885,0.4009455442428589,0.8654285714285714
1700,0.3202030062675476,0.8865,0.39191681146621704,0.8654285714285714
1800,0.3326415419578552,0.8705,0.40617966651916504,0.8647142857142858
1900,0.30574339628219604,0.88825,0.37279820442199707,0.8747142857142857
2000,0.38204529881477356,0.88425,0.3852873146533966,0.8722857142857143
2100,0.3770913779735565,0.901,0.38114413619041443,0.8702857142857143
2200,0.26271942257881165,0.89125,0.3743159770965576,0.872
2300,0.27422183752059937,0.884,0.3785906732082367,0.8695714285714286
2400,0.3185766339302063,0.89025,0.37269359827041626,0.8744285714285714
2500,0.24530673027038574,0.891,0.378751665353775,0.8694285714285714
2600,0.2666392922401428,0.8905,0.3766227066516876,0.8705714285714286
2700,0.32426291704177856,0.89425,0.3849913477897644,0.8688571428571429
2800,0.27881288528442383,0.90675,0.37711480259895325,0.878
2900,0.2964123785495758,0.9,0.3704293966293335,0.879
3000,0.2593408226966858,0.9015,0.3647203743457794,0.8778571428571429
