step,train_loss,train_acc,dev_loss,dev_acc
0,26.562856674194336,0.1425,38.01573944091797,0.13757142857142857
100,1.496027946472168,0.55575,1.5029150247573853,0.5497142857142857
200,1.2375973463058472,0.64625,1.1549404859542847,0.6545714285714286
300,0.9085370302200317,0.6885,0.9615867137908936,0.6937142857142857
400,0.8899744749069214,0.69,0.9396660327911377,0.6827142857142857
500,0.7798435091972351,0.70375,0.9169321060180664,0.7065714285714285
600,0.9653043746948242,0.719,0.8164039254188538,0.7275714285714285
700,0.6418924331665039,0.73275,0.8194900155067444,0.7207142857142858
800,0.7819699048995972,0.7435,0.8223127722740173,0.7374285714285714
900,0.6928381323814392,0.75675,0.7648650407791138,0.7451428571428571
1000,0.6424187421798706,0.76175,0.775682806968689,0.7524285714285714
1100,0.8227246403694153,0.73875,0.7690529227256775,0.7424285714285714
1200,0.6202972531318665,0.7585,0.7365119457244873,0.7538571428571429
1300,0.6755844950675964,0.7445,0.7459002733230591,0.7408571428571429
1400,0.6267032027244568,0.75175,0.7353212237358093,0.7541428571428571
1500,0.3382999002933502,0.7655,0.7190569043159485,0.7617142857142857
1600,0.7290987968444824,0.76325,0.7076470255851746,0.7575714285714286
1700,0.7423772811889648,0.76375,0.7161567807197571,0.7597142857142857
1800,0.7519590258598328,0.76025,0.7092604637145996,0.7671428571428571
1900,0.5082055330276489,0.74575,0.7452164888381958,0.7435714285714285
