step,train_loss,train_acc,dev_loss,dev_acc
0,27.837566375732422,0.109,39.14506530761719,0.10014285714285714
100,1.7463045120239258,0.6015,1.5526756048202515,0.6072857142857143
200,1.27295982837677,0.648,1.1888790130615234,0.6447142857142857
300,1.0178529024124146,0.6385,1.1297640800476074,0.6382857142857142
400,0.8470298647880554,0.6895,0.9712393879890442,0.6898571428571428
500,0.7312681078910828,0.679,0.9663264751434326,0.6907142857142857
600,0.9678400754928589,0.713,0.8946658968925476,0.7098571428571429
700,0.5552364587783813,0.72675,0.8431983590126038,0.7184285714285714
800,0.7281318306922913,0.7275,0.8309515714645386,0.7257142857142858
900,0.7958647608757019,0.74875,0.8068147897720337,0.7365714285714285
1000,0.8101328015327454,0.7545,0.757178008556366,0.7481428571428571
1100,0.6063551306724548,0.73,0.8224121332168579,0.735
1200,0.6655384302139282,0.7475,0.7857286334037781,0.7415714285714285
1300,0.9507229924201965,0.743,0.7600734233856201,0.745
1400,0.5659905076026917,0.73775,0.8012006878852844,0.7407142857142858
1500,0.5287381410598755,0.74,0.7886835932731628,0.7421428571428571
1600,0.7467297911643982,0.74475,0.7560551166534424,0.7414285714285714
1700,0.6537291407585144,0.75325,0.7513436675071716,0.7504285714285714
1800,0.9304898381233215,0.77275,0.7620325684547424,0.7624285714285715
1900,0.5459148287773132,0.75625,0.7588977813720703,0.7537142857142857
2000,0.8458672761917114,0.77,0.7845365405082703,0.7558571428571429
