step,train_loss,train_acc,dev_loss,dev_acc
0,9.012524604797363,0.13025,12.654406547546387,0.12485714285714286
100,2.07244610786438,0.19575,2.1081089973449707,0.19114285714285714
200,2.1957077980041504,0.18525,2.106703758239746,0.19485714285714287
300,2.0180716514587402,0.195,2.0993738174438477,0.195
400,1.625337839126587,0.37325,1.7857848405838013,0.35942857142857143
500,1.841652274131775,0.353,1.797471523284912,0.3527142857142857
600,1.920977234840393,0.3605,1.7404979467391968,0.36914285714285716
700,1.783525824546814,0.3645,1.7564597129821777,0.368
800,1.7339437007904053,0.3825,1.7285442352294922,0.37842857142857145
900,0.9677179455757141,0.6895,0.9498029351234436,0.6882857142857143
1000,0.8304109573364258,0.73125,0.8309559226036072,0.7168571428571429
1100,0.3779120147228241,0.72525,0.7635834217071533,0.7334285714285714
1200,0.6594915986061096,0.744,0.7399348020553589,0.7407142857142858
1300,0.6935052275657654,0.731,0.7423312067985535,0.7327142857142858
1400,0.4181585907936096,0.8465,0.4924641251564026,0.8345714285714285
1500,0.3721885085105896,0.83225,0.4638575315475464,0.8371428571428572
1600,0.4776289463043213,0.8415,0.4771312177181244,0.8392857142857143
1700,0.569797933101654,0.855,0.45423197746276855,0.8452857142857143
1800,0.45373526215553284,0.84075,0.4441787600517273,0.846
1900,0.40587306022644043,0.846,0.4686913788318634,0.838
2000,0.4632783830165863,0.846,0.4571836590766907,0.841
2100,0.6896544098854065,0.863,0.41375064849853516,0.8584285714285714
2200,0.3444037139415741,0.85175,0.44003793597221375,0.8511428571428571
2300,0.3306259214878082,0.85475,0.44014492630958557,0.8492857142857143
2400,0.5711871981620789,0.84975,0.4324567914009094,0.853
2500,0.33959731459617615,0.86225,0.42022648453712463,0.8502857142857143
2600,0.33871981501579285,0.85675,0.42236220836639404,0.8574285714285714
2700,0.45456114411354065,0.86,0.42032909393310547,0.8507142857142858
2800,0.400756299495697,0.86025,0.4411413371562958,0.8442857142857143
2900,0.42513322830200195,0.86975,0.3987051844596863,0.859
3000,0.6956161856651306,0.867,0.3960598409175873,0.8598571428571429
3100,0.1771335005760193,0.87425,0.3899770975112915,0.8671428571428571
3200,0.4828111529350281,0.87175,0.4074077010154724,0.8631428571428571
3300,0.3990366756916046,0.86825,0.4037463068962097,0.8607142857142858
3400,0.42638149857521057,0.8735,0.38641417026519775,0.8637142857142858
3500,0.223739355802536,0.86325,0.39829862117767334,0.8642857142857143
3600,0.4482288956642151,0.86775,0.3946821689605713,0.8617142857142858
3700,0.32566171884536743,0.86725,0.39434847235679626,0.8588571428571429
3800,0.14147421717643738,0.87325,0.3957482874393463,0.8635714285714285
3900,0.35511377453804016,0.8725,0.3754137456417084,0.8691428571428571
4000,0.43442076444625854,0.89075,0.39721012115478516,0.8637142857142858
