step,train_loss,train_acc,dev_loss,dev_acc
0,24.24815559387207,0.15475,32.899993896484375,0.15814285714285714
100,1.7955007553100586,0.4,1.631066083908081,0.40085714285714286
200,1.6114184856414795,0.39525,1.5546122789382935,0.3945714285714286
300,1.3408911228179932,0.5635,1.3381321430206299,0.573
400,1.4782990217208862,0.57925,1.2123051881790161,0.5768571428571428
500,1.2747080326080322,0.59175,1.213578462600708,0.599
600,1.2825758457183838,0.65925,1.040132761001587,0.6677142857142857
700,0.890606701374054,0.6805,0.9932993054389954,0.6752857142857143
800,0.6364109516143799,0.6975,0.9820606708526611,0.6831428571428572
900,0.7552541494369507,0.72225,0.9116742610931396,0.7028571428571428
1000,0.9884079694747925,0.7185,0.9081698060035706,0.6994285714285714
1100,0.6155285239219666,0.69475,0.8703362941741943,0.6995714285714286
1200,0.9094740748405457,0.72525,0.884145975112915,0.716
1300,0.9307942390441895,0.7235,0.7934863567352295,0.7302857142857143
1400,0.6517845392227173,0.711,0.8568069934844971,0.7127142857142857
1500,0.47583824396133423,0.71075,0.8170107007026672,0.7108571428571429
1600,0.8363797068595886,0.74475,0.7693959474563599,0.7337142857142858
1700,0.603476881980896,0.75525,0.7490542531013489,0.7417142857142857
1800,0.549446165561676,0.75075,0.7302606701850891,0.7572857142857143
1900,0.6469715237617493,0.74725,0.7433916926383972,0.7437142857142857
2000,0.6272258758544922,0.75225,0.7560825943946838,0.7514285714285714
2100,0.7932752370834351,0.7715,0.7050642967224121,0.7598571428571429
2200,0.5906473994255066,0.7425,0.7581388354301453,0.7464285714285714
2300,0.5416980981826782,0.75875,0.7003120183944702,0.761
2400,0.5979329347610474,0.752,0.743314802646637,0.743
2500,0.6359482407569885,0.7645,0.6994702816009521,0.768
2600,0.6720743179321289,0.74875,0.738133430480957,0.7457142857142857
