step,train_loss,train_acc,dev_loss,dev_acc
0,49.88837432861328,0.12525,52.42034912109375,0.12928571428571428
100,1.841025710105896,0.61125,1.5787752866744995,0.5967142857142858
200,1.2127786874771118,0.67975,1.122305154800415,0.6685714285714286
300,0.9867441058158875,0.71075,0.9558175802230835,0.7098571428571429
400,0.7009751796722412,0.73375,0.8671327829360962,0.7275714285714285
500,1.11640465259552,0.73925,0.8332571387290955,0.7425714285714285
600,0.9316388368606567,0.74175,0.8445500731468201,0.7402857142857143
700,0.7536452412605286,0.746,0.7919892072677612,0.7384285714285714
800,0.5722582936286926,0.76225,0.7552391886711121,0.7587142857142857
900,0.6699396371841431,0.77575,0.7387425899505615,0.7694285714285715
1000,0.7291799783706665,0.77,0.7687909007072449,0.7588571428571429
1100,0.5347850322723389,0.7635,0.721107542514801,0.7625714285714286
1200,0.7033258676528931,0.77975,0.7155877947807312,0.7748571428571429
1300,0.6535701751708984,0.7695,0.7476446628570557,0.7628571428571429
1400,0.37999922037124634,0.78225,0.696324348449707,0.7762857142857142
1500,0.4544591009616852,0.7785,0.6784982085227966,0.7802857142857142
1600,0.5986711978912354,0.783,0.6875946521759033,0.7781428571428571
1700,0.5751768350601196,0.78725,0.7004888653755188,0.7792857142857142
1800,0.6469780802726746,0.785,0.6766372919082642,0.7808571428571428
1900,0.5350626111030579,0.78425,0.6980058550834656,0.7711428571428571
2000,0.5024475455284119,0.777,0.6789832711219788,0.7725714285714286
2100,1.0773624181747437,0.80525,0.6623942255973816,0.7902857142857143
2200,0.5618420839309692,0.78075,0.7357087135314941,0.7651428571428571
