step,train_loss,train_acc,dev_loss,dev_acc
0,12.446945190429688,0.05225,17.977008819580078,0.054142857142857145
100,1.9809414148330688,0.34,1.7989975214004517,0.33214285714285713
200,1.3802510499954224,0.44125,1.5025978088378906,0.45471428571428574
300,1.2841408252716064,0.53125,1.2445895671844482,0.5434285714285715
400,0.874038577079773,0.61,1.138047456741333,0.6035714285714285
500,1.0958693027496338,0.67075,0.9882124662399292,0.6641428571428571
600,1.0226417779922485,0.74925,0.815589189529419,0.7402857142857143
700,0.667992889881134,0.76375,0.745303213596344,0.7577142857142857
800,0.5897629857063293,0.7565,0.7112408876419067,0.7622857142857142
900,0.7947253584861755,0.778,0.6979550123214722,0.7774285714285715
1000,0.760318398475647,0.78725,0.7021263241767883,0.7734285714285715
1100,0.5459837913513184,0.77375,0.6703258156776428,0.7798571428571428
1200,0.6571328639984131,0.7905,0.6526318788528442,0.7891428571428571
1300,0.6230342984199524,0.80325,0.5869219899177551,0.797
1400,0.4694384038448334,0.83925,0.5018782615661621,0.8297142857142857
1500,0.31107550859451294,0.85375,0.45252543687820435,0.8432857142857143
1600,0.36948898434638977,0.8575,0.4500822424888611,0.8462857142857143
1700,0.48560476303100586,0.85875,0.45263609290122986,0.8457142857142858
1800,0.5145063996315002,0.84575,0.4433934986591339,0.8444285714285714
1900,0.35202857851982117,0.85375,0.44764384627342224,0.842
2000,0.41788411140441895,0.843,0.47252964973449707,0.8442857142857143
2100,0.48963242769241333,0.87,0.42188531160354614,0.854
2200,0.40203937888145447,0.857,0.4296601116657257,0.8527142857142858
2300,0.40436679124832153,0.86375,0.42506662011146545,0.8552857142857143
2400,0.49244776368141174,0.8505,0.43322113156318665,0.8551428571428571
2500,0.46924805641174316,0.86475,0.4181913733482361,0.8611428571428571
2600,0.3796176016330719,0.85175,0.4580267071723938,0.8477142857142858
2700,0.5177832841873169,0.8615,0.41062963008880615,0.8578571428571429
2800,0.3333630859851837,0.874,0.4103468060493469,0.8605714285714285
2900,0.6005013585090637,0.8565,0.41256383061408997,0.8534285714285714
3000,0.7058582901954651,0.86,0.39402666687965393,0.859
3100,0.1127171665430069,0.86475,0.39778655767440796,0.8638571428571429
3200,0.28246334195137024,0.86875,0.4123988151550293,0.8607142857142858
3300,0.3932987153530121,0.8745,0.39984196424484253,0.8611428571428571
3400,0.4834233820438385,0.88325,0.37502291798591614,0.8684285714285714
3500,0.2508241534233093,0.878,0.3985103368759155,0.8677142857142857
3600,0.49674683809280396,0.8705,0.4027227461338043,0.8588571428571429
3700,0.2563665509223938,0.865,0.4283021092414856,0.8524285714285714
3800,0.15831051766872406,0.8765,0.394883930683136,0.862
3900,0.346897155046463,0.873,0.391681432723999,0.8671428571428571
4000,0.4080466330051422,0.88025,0.4033081829547882,0.8611428571428571
