step,train_loss,train_acc,dev_loss,dev_acc
0,6.243753433227539,0.092,32.28681564331055,0.099
100,0.9686766862869263,0.69725,0.955396831035614,0.7004285714285714
200,0.9168893098831177,0.76,0.728722333908081,0.7584285714285715
300,0.3989410102367401,0.781,0.6326679587364197,0.79
400,0.4940189719200134,0.809,0.5908796191215515,0.802
500,0.5919510722160339,0.79175,0.612724244594574,0.7932857142857143
600,0.9360976219177246,0.80775,0.5664145946502686,0.8015714285714286
700,0.4521963596343994,0.81875,0.5400879383087158,0.8122857142857143
800,0.34050923585891724,0.829,0.5273489952087402,0.8215714285714286
900,0.6452604532241821,0.82675,0.5063198804855347,0.8238571428571428
1000,0.5222505927085876,0.8465,0.4862935543060303,0.8338571428571429
1100,0.4890654683113098,0.83075,0.50291907787323,0.8337142857142857
1200,0.4345454275608063,0.84025,0.4897909164428711,0.8318571428571429
1300,0.5892444849014282,0.827,0.5347236394882202,0.8187142857142857
1400,0.36707067489624023,0.8355,0.5079565644264221,0.8301428571428572
1500,0.431693971157074,0.84175,0.483917772769928,0.8338571428571429
1600,0.38260602951049805,0.85025,0.4649844765663147,0.8385714285714285
1700,0.4570135176181793,0.8555,0.4740086793899536,0.8382857142857143
1800,0.49756646156311035,0.84375,0.4755680561065674,0.8375714285714285
1900,0.32152947783470154,0.845,0.4598255157470703,0.8391428571428572
2000,0.369739830493927,0.84475,0.4598977863788605,0.8434285714285714
