step,train_loss,train_acc,dev_loss,dev_acc
0,8.83603572845459,0.13725,7.348339080810547,0.1357142857142857
100,1.195975422859192,0.67525,0.9942980408668518,0.6674285714285715
200,0.7991746664047241,0.74075,0.7706847786903381,0.7397142857142858
300,0.48847994208335876,0.75475,0.6859049201011658,0.767
400,0.5207167267799377,0.77025,0.6439648270606995,0.7651428571428571
500,0.8641719818115234,0.753,0.657299816608429,0.7611428571428571
600,0.8362410664558411,0.807,0.5509365200996399,0.8081428571428572
700,0.4744083285331726,0.81075,0.5477177500724792,0.8067142857142857
800,0.43039989471435547,0.81,0.5600739121437073,0.7984285714285714
900,0.48796939849853516,0.8235,0.5287498831748962,0.8148571428571428
1000,0.5324834585189819,0.83825,0.5272579789161682,0.827
1100,0.5148924589157104,0.821,0.5049208998680115,0.8205714285714286
1200,0.5457021594047546,0.838,0.49576276540756226,0.8297142857142857
1300,0.5637141466140747,0.82875,0.4996299743652344,0.8265714285714286
1400,0.4274709224700928,0.8295,0.49453309178352356,0.8295714285714286
1500,0.44621333479881287,0.83575,0.4638308584690094,0.8364285714285714
1600,0.4408344626426697,0.84425,0.4602745473384857,0.838
1700,0.5172328352928162,0.8525,0.4730815887451172,0.8378571428571429
1800,0.5296730995178223,0.8305,0.46079859137535095,0.838
1900,0.6450536847114563,0.84425,0.4579712152481079,0.8415714285714285
2000,0.4143737256526947,0.842,0.4680503010749817,0.8311428571428572
