step,train_loss,train_acc,dev_loss,dev_acc
0,31.76194190979004,0.11675,36.449344635009766,0.11714285714285715
100,1.4050503969192505,0.623,1.2797352075576782,0.6352857142857142
200,1.0940951108932495,0.69175,0.9639546871185303,0.6834285714285714
300,0.9222546219825745,0.72075,0.8379597067832947,0.7151428571428572
400,0.7844216823577881,0.76425,0.7656891942024231,0.7438571428571429
500,0.6379837989807129,0.7525,0.7369229197502136,0.7535714285714286
600,0.6623280048370361,0.75425,0.7367123365402222,0.753
700,0.6206079125404358,0.78225,0.6754788756370544,0.7727142857142857
800,0.5529146790504456,0.787,0.6538435220718384,0.7837142857142857
900,0.6413670778274536,0.79225,0.6523505449295044,0.7794285714285715
1000,0.66377854347229,0.79425,0.626101016998291,0.7844285714285715
1100,0.5976625084877014,0.7855,0.6135494709014893,0.7892857142857143
1200,0.48215451836586,0.7955,0.6421513557434082,0.7874285714285715
1300,0.6127248406410217,0.8025,0.5974037647247314,0.7974285714285714
1400,0.5449228882789612,0.8075,0.5865699052810669,0.793
1500,0.5723212957382202,0.80025,0.6020516157150269,0.7924285714285715
1600,0.575875997543335,0.80425,0.6235390901565552,0.7934285714285715
1700,0.6097584962844849,0.79625,0.6221811771392822,0.7817142857142857
1800,0.5692659616470337,0.8025,0.5984870791435242,0.8004285714285714
1900,0.4934835731983185,0.808,0.6111616492271423,0.7962857142857143
2000,0.6707444787025452,0.81725,0.5686395168304443,0.8072857142857143
2100,0.5937249660491943,0.82675,0.5788939595222473,0.8064285714285714
2200,0.5382980108261108,0.81475,0.594213604927063,0.801
2300,0.5079807639122009,0.80775,0.5904079675674438,0.7974285714285714
2400,0.5499405860900879,0.8225,0.5668361186981201,0.8098571428571428
2500,0.5576709508895874,0.81775,0.5580626726150513,0.8074285714285714
2600,0.5027780532836914,0.81675,0.5636737942695618,0.8045714285714286
2700,0.5705700516700745,0.817,0.5712208151817322,0.8042857142857143
2800,0.5074300169944763,0.82325,0.5477762222290039,0.8131428571428572
2900,0.47277259826660156,0.82425,0.5633485317230225,0.8111428571428572
3000,0.5679197311401367,0.821,0.5920828580856323,0.7985714285714286
