step,train_loss,train_acc,dev_loss,dev_acc
0,27.204116821289062,0.12875,30.50393295288086,0.123
100,1.3361172676086426,0.60675,1.290266513824463,0.6048571428571429
200,0.9836007952690125,0.65925,1.0390523672103882,0.6657142857142857
300,1.0147207975387573,0.692,0.92583829164505,0.6964285714285714
400,0.8170195817947388,0.74125,0.8344181776046753,0.7268571428571429
500,0.5897741317749023,0.729,0.8049095273017883,0.7361428571428571
600,0.6693928241729736,0.7445,0.7670268416404724,0.7435714285714285
700,0.7126197218894958,0.75975,0.7504521012306213,0.7465714285714286
800,0.6667477488517761,0.768,0.7213791608810425,0.7667142857142857
900,0.9483895897865295,0.773,0.7230703234672546,0.761
1000,0.6565644145011902,0.777,0.6848587393760681,0.7691428571428571
1100,0.7339644432067871,0.765,0.6881118416786194,0.7661428571428571
1200,0.5820761322975159,0.77025,0.7032654881477356,0.7595714285714286
1300,0.5983331799507141,0.765,0.6724545955657959,0.7584285714285715
1400,0.4538552165031433,0.778,0.6562711596488953,0.7745714285714286
1500,0.7299487590789795,0.767,0.695052444934845,0.7644285714285715
1600,0.5866259932518005,0.78375,0.6557233333587646,0.7671428571428571
1700,0.6543209552764893,0.79025,0.6654402017593384,0.783
1800,0.6911081671714783,0.77525,0.6720936894416809,0.7757142857142857
1900,0.5939752459526062,0.7755,0.6968679428100586,0.7682857142857142
2000,0.778133749961853,0.77525,0.6873860955238342,0.7624285714285715
