step,train_loss,train_acc,dev_loss,dev_acc
0,31.09822654724121,0.12375,39.51757049560547,0.115
100,1.7849019765853882,0.56075,1.8403748273849487,0.5484285714285714
200,1.0670182704925537,0.623,1.3005993366241455,0.6267142857142857
300,1.323063850402832,0.63125,1.195276141166687,0.6314285714285715
400,0.9723672866821289,0.6895,1.025024652481079,0.6765714285714286
500,1.066666841506958,0.697,0.9564511775970459,0.6958571428571428
600,1.1652778387069702,0.69775,0.9490498900413513,0.6861428571428572
700,0.6793684363365173,0.69425,0.9235033392906189,0.6894285714285714
800,0.646995484828949,0.70825,0.8736200332641602,0.7152857142857143
900,1.0844395160675049,0.74075,0.8798410892486572,0.7168571428571429
1000,0.9095765948295593,0.7305,0.8227518200874329,0.7291428571428571
1100,0.7494794130325317,0.73825,0.818434476852417,0.7312857142857143
1200,0.7788325548171997,0.75125,0.8302571177482605,0.7425714285714285
1300,0.9949437975883484,0.7315,0.7948495149612427,0.7285714285714285
1400,0.6065388321876526,0.7135,0.8374488949775696,0.7135714285714285
1500,0.5194686651229858,0.747,0.7825984954833984,0.731
1600,0.7508851289749146,0.74975,0.7793803811073303,0.747
1700,0.7750295400619507,0.7525,0.7761820554733276,0.7485714285714286
1800,0.8091252446174622,0.758,0.7541115880012512,0.7572857142857143
1900,0.6357495188713074,0.764,0.7431349754333496,0.7512857142857143
2000,0.8000605702400208,0.7625,0.7482288479804993,0.7628571428571429
2100,0.9736113548278809,0.77425,0.7459930181503296,0.7582857142857143
2200,0.5384730696678162,0.734,0.8344600796699524,0.7307142857142858
