step,train_loss,train_acc,dev_loss,dev_acc
0,29.18100357055664,0.13125,33.135868072509766,0.11471428571428571
100,1.6257215738296509,0.628,1.3021296262741089,0.6245714285714286
200,1.1343357563018799,0.662,1.054383635520935,0.6725714285714286
300,0.9828070402145386,0.6915,0.9363349080085754,0.6942857142857143
400,0.9622933268547058,0.741,0.8503064513206482,0.7227142857142858
500,0.7384941577911377,0.7435,0.823014497756958,0.7365714285714285
600,0.8139554262161255,0.73475,0.8127176761627197,0.7321428571428571
700,0.7601645588874817,0.7555,0.7723483443260193,0.7575714285714286
800,0.6716572642326355,0.7595,0.7470358610153198,0.7552857142857143
900,0.6710770726203918,0.77975,0.7185709476470947,0.77
1000,0.8337101340293884,0.7795,0.7063078880310059,0.7652857142857142
1100,0.6091210842132568,0.76125,0.7044960856437683,0.7651428571428571
1200,0.6232888102531433,0.78725,0.7109986543655396,0.7757142857142857
1300,0.6172141432762146,0.7675,0.6952547430992126,0.766
1400,0.6155723929405212,0.7895,0.6971004605293274,0.7697142857142857
1500,0.6894397139549255,0.7745,0.685235857963562,0.7718571428571429
1600,0.5751194953918457,0.775,0.7076148986816406,0.7637142857142857
1700,0.6494185328483582,0.79375,0.6719764471054077,0.7794285714285715
1800,0.6860455870628357,0.7835,0.6603075265884399,0.7857142857142857
1900,0.5450976490974426,0.79425,0.6462948322296143,0.7884285714285715
2000,0.8305756449699402,0.801,0.6606187224388123,0.7904285714285715
2100,0.8556289076805115,0.801,0.6474105715751648,0.7868571428571428
2200,0.5638357996940613,0.7945,0.6312456727027893,0.7932857142857143
2300,0.5678052306175232,0.79925,0.6613820195198059,0.7877142857142857
2400,0.5718597769737244,0.8025,0.6269345283508301,0.7908571428571428
2500,0.6299152970314026,0.79025,0.6486878991127014,0.7855714285714286
2600,0.6484143137931824,0.805,0.6261166334152222,0.7935714285714286
2700,0.5884357690811157,0.79175,0.6410866379737854,0.784
2800,0.45379045605659485,0.81,0.6223828792572021,0.8057142857142857
2900,0.499420702457428,0.80525,0.620007336139679,0.7997142857142857
3000,0.6192072629928589,0.811,0.6110664010047913,0.8068571428571428
3100,0.3977745473384857,0.8025,0.6234353184700012,0.7881428571428571
3200,0.7814335823059082,0.803,0.6154567003250122,0.7978571428571428
3300,0.5880852937698364,0.81575,0.6112601161003113,0.8017142857142857
3400,0.6324720978736877,0.821,0.596952497959137,0.8022857142857143
3500,0.6528761982917786,0.807,0.593559205532074,0.7994285714285714
3600,0.43412983417510986,0.798,0.6660186052322388,0.7902857142857143
3700,0.4761814773082733,0.7995,0.6175309419631958,0.7971428571428572
3800,0.5576144456863403,0.815,0.5942574739456177,0.8022857142857143
3900,0.41647449135780334,0.80825,0.6200348138809204,0.8048571428571428
4000,0.4432571530342102,0.8135,0.5850534439086914,0.8051428571428572
