step,train_loss,train_acc,dev_loss,dev_acc
0,7.839177131652832,0.10025,6.018969535827637,0.10728571428571429
100,2.03875470161438,0.20475,2.223417282104492,0.191
200,1.7527296543121338,0.3175,1.9020655155181885,0.3231428571428571
300,1.5126268863677979,0.50125,1.4963451623916626,0.4962857142857143
400,0.9147601127624512,0.57525,1.225300669670105,0.5715714285714286
500,0.8626570701599121,0.63225,1.0577328205108643,0.6241428571428571
600,1.1128491163253784,0.63625,1.0023118257522583,0.6441428571428571
700,0.7867945432662964,0.68575,0.919218897819519,0.6832857142857143
800,0.8760978579521179,0.69825,0.8869468569755554,0.6912857142857143
900,1.027062177658081,0.704,0.8698239922523499,0.7037142857142857
1000,0.9790127873420715,0.7355,0.8195567727088928,0.7222857142857143
1100,0.708784818649292,0.728,0.8012402057647705,0.7244285714285714
1200,0.8618876338005066,0.7245,0.7970523834228516,0.7245714285714285
1300,1.0386791229248047,0.7365,0.7691839337348938,0.7375714285714285
1400,0.6779571175575256,0.75275,0.7207303047180176,0.7567142857142857
1500,0.5420528650283813,0.751,0.7063980102539062,0.7581428571428571
1600,0.69089275598526,0.7615,0.6953611969947815,0.7677142857142857
1700,0.8904215097427368,0.7605,0.6957458853721619,0.764
1800,0.7173099517822266,0.758,0.6780688762664795,0.7674285714285715
1900,0.5713026523590088,0.76475,0.6739735007286072,0.7708571428571429
2000,0.6223583817481995,0.7715,0.6713313460350037,0.7734285714285715
2100,0.8708174824714661,0.7865,0.6574200391769409,0.7765714285714286
2200,0.5083292722702026,0.77075,0.6633779406547546,0.7747142857142857
2300,0.6174708604812622,0.77125,0.6484664678573608,0.7842857142857143
2400,0.6138960719108582,0.7745,0.6355419754981995,0.7841428571428571
2500,0.572775661945343,0.782,0.6364247798919678,0.7822857142857143
2600,0.37688082456588745,0.768,0.6566003561019897,0.7785714285714286
2700,0.6239901185035706,0.7805,0.6358945369720459,0.7827142857142857
2800,0.5640236139297485,0.7795,0.6333653330802917,0.7835714285714286
2900,0.9167405366897583,0.787,0.624596893787384,0.7862857142857143
3000,0.8753350973129272,0.78,0.635451078414917,0.7747142857142857
