step,train_loss,train_acc,dev_loss,dev_acc
0,30.315738677978516,0.1205,48.98286437988281,0.114
100,1.7770373821258545,0.4495,1.727810025215149,0.4502857142857143
200,1.9170013666152954,0.576,1.5133750438690186,0.5762857142857143
300,1.327309250831604,0.58525,1.4748568534851074,0.5762857142857143
400,1.3135133981704712,0.6155,1.2161589860916138,0.6162857142857143
500,1.0410422086715698,0.64025,1.149698257446289,0.6475714285714286
600,1.131058692932129,0.64775,1.1544491052627563,0.6565714285714286
700,0.8590442538261414,0.64975,1.1011641025543213,0.6351428571428571
