step,train_loss,train_acc,dev_loss,dev_acc
0,27.950790405273438,0.1365,22.413469314575195,0.1387142857142857
100,2.1594836711883545,0.53625,1.7971341609954834,0.5375714285714286
200,1.344160795211792,0.62625,1.3120098114013672,0.6311428571428571
300,0.8020094037055969,0.65975,1.102312445640564,0.6565714285714286
400,0.75946444272995,0.681,1.0456992387771606,0.6684285714285715
500,0.6925561428070068,0.69075,0.9801399111747742,0.6768571428571428
600,1.1993505954742432,0.67725,0.9830517768859863,0.6882857142857143
700,0.8523233532905579,0.7045,0.9186742901802063,0.7015714285714286
800,0.8663190603256226,0.70825,0.9324979782104492,0.7061428571428572
900,0.7089362740516663,0.7295,0.8617588877677917,0.7305714285714285
1000,0.7766174077987671,0.74475,0.887376070022583,0.7241428571428571
1100,0.8545619249343872,0.717,0.8590778708457947,0.7207142857142858
1200,0.7008572816848755,0.733,0.7905034422874451,0.7435714285714285
1300,0.8903118968009949,0.73725,0.8054022789001465,0.738
1400,0.5544846653938293,0.7395,0.7944761514663696,0.7332857142857143
1500,0.6100195646286011,0.73875,0.8021042346954346,0.7408571428571429
1600,0.7487779259681702,0.736,0.8232694864273071,0.7257142857142858
1700,0.8155497312545776,0.769,0.7495459914207458,0.757
1800,0.7580798864364624,0.75775,0.7449787855148315,0.7545714285714286
1900,0.7157371640205383,0.757,0.7346094250679016,0.7597142857142857
2000,0.868078351020813,0.7525,0.8130820393562317,0.7404285714285714
2100,0.8129503130912781,0.77325,0.72852623462677,0.7735714285714286
2200,0.9001617431640625,0.747,0.7723375558853149,0.7435714285714285
